Order_ID,Customer_Name,Category,Sub_Category,City,Order_Date,Region,Sales,Discount,Profit,State,Profit_Margin,Sales_Category,Profit_Status
OD48,Mathew,Snacks,Noodles,Chennai,,East,1488,0.3,610.08,Tamil Nadu,41.0,Very High,Profitable
OD49,Ridhesh,Snacks,Noodles,Pudukottai,,East,726,0.18,43.56,Tamil Nadu,6.000000000000001,High,Profitable
OD50,Amrish,Bakery,Cakes,Ooty,,Central,1259,0.15,415.47,Tamil Nadu,33.0,Very High,Profitable
OD51,Esther,Beverages,Soft Drinks,Salem,,Central,902,0.29,153.34,Tamil Nadu,17.0,High,Profitable
OD52,Shah,Beverages,Soft Drinks,Salem,,Central,2306,0.3,553.44,Tamil Nadu,24.000000000000004,Very High,Profitable
OD53,Sudha,Bakery,Cakes,Theni,,Central,1417,0.19,99.19,Tamil Nadu,6.999999999999999,Very High,Profitable
OD54,Yusuf,Fruits & Veggies,Fresh Vegetables,Madurai,2017-12-11,East,627,0.33,181.83,Tamil Nadu,29.000000000000004,High,Profitable
OD55,Esther,Fruits & Veggies,Organic Fruits,Nagercoil,2017-12-11,East,760,0.28,60.8,Tamil Nadu,8.0,High,Profitable
OD56,Muneer,Food Grains,Atta & Flour,Salem,,East,2350,0.15,611.0,Tamil Nadu,26.0,Very High,Profitable
OD57,Komal,"Eggs, Meat & Fish",Fish,Krishnagiri,,East,1179,0.34,271.17,Tamil Nadu,23.0,Very High,Profitable
OD58,Veena,Food Grains,Dals & Pulses,Trichy,,East,1624,0.35,194.88,Tamil Nadu,12.0,Very High,Profitable
OD59,Sharon,"Eggs, Meat & Fish",Mutton,Trichy,,East,1316,0.35,421.12,Tamil Nadu,32.0,Very High,Profitable
OD60,Shree,Beverages,Health Drinks,Coimbatore,,East,2121,0.12,678.72,Tamil Nadu,32.0,Very High,Profitable
OD61,Roshan,Oil & Masala,Masalas,Virudhunagar,,East,1428,0.28,271.32,Tamil Nadu,19.0,Very High,Profitable
OD62,Willams,Snacks,Noodles,Perambalur,,East,706,0.33,289.46,Tamil Nadu,41.0,High,Profitable
OD63,Sudeep,"Eggs, Meat & Fish",Fish,Dharmapuri,,West,921,0.25,184.2,Tamil Nadu,20.0,High,Profitable
OD64,Yusuf,Fruits & Veggies,Fresh Fruits,Trichy,,West,1741,0.31,661.58,Tamil Nadu,38.0,Very High,Profitable
OD65,Willams,"Eggs, Meat & Fish",Eggs,Madurai,,West,607,0.22,200.31,Tamil Nadu,33.0,High,Profitable
OD66,Muneer,"Eggs, Meat & Fish",Mutton,Tirunelveli,,West,1824,0.25,766.08,Tamil Nadu,42.00000000000001,Very High,Profitable
OD67,Vinne,Food Grains,Atta & Flour,Madurai,,Central,1368,0.11,383.04,Tamil Nadu,28.000000000000004,Very High,Profitable
OD68,Roshan,Fruits & Veggies,Fresh Vegetables,Pudukottai,2015-12-05,West,1160,0.16,510.4,Tamil Nadu,44.0,Very High,Profitable
OD69,Ramesh,Food Grains,Atta & Flour,Viluppuram,2015-12-05,West,1294,0.23,77.64,Tamil Nadu,6.0,Very High,Profitable
OD70,Peer,Oil & Masala,Masalas,Ooty,2017-06-04,South,1232,0.14,554.4,Tamil Nadu,44.99999999999999,Very High,Profitable
OD71,Verma,"Eggs, Meat & Fish",Mutton,Kanyakumari,,East,994,0.31,357.84,Tamil Nadu,36.0,High,Profitable
OD72,Yusuf,Snacks,Noodles,Kanyakumari,,Central,2468,0.18,1011.88,Tamil Nadu,41.0,Very High,Profitable
OD73,Alan,Snacks,Cookies,Theni,,South,721,0.27,100.94,Tamil Nadu,13.999999999999998,High,Profitable
OD74,Vidya,Fruits & Veggies,Organic Vegetables,Vellore,,South,2375,0.21,475.0,Tamil Nadu,20.0,Very High,Profitable
OD75,Arvind,Beverages,Soft Drinks,Vellore,,South,1965,0.13,117.9,Tamil Nadu,6.000000000000001,Very High,Profitable
OD76,Veronica,Beverages,Soft Drinks,Bodi,2018-12-09,Central,1489,0.12,193.57,Tamil Nadu,13.0,Very High,Profitable
OD77,Arvind,Fruits & Veggies,Organic Fruits,Ooty,2018-12-09,Central,1250,0.27,75.0,Tamil Nadu,6.0,Very High,Profitable
OD78,Anu,Snacks,Noodles,Coimbatore,2018-12-09,Central,1358,0.31,488.88,Tamil Nadu,36.0,Very High,Profitable
OD79,Haseena,Snacks,Cookies,Vellore,,Central,719,0.2,64.71,Tamil Nadu,9.0,High,Profitable
OD80,Veena,Fruits & Veggies,Organic Fruits,Chennai,2017-06-12,South,2303,0.26,621.81,Tamil Nadu,26.999999999999996,Very High,Profitable
OD81,Kumar,Beverages,Health Drinks,Kanyakumari,2017-06-12,South,2027,0.34,912.15,Tamil Nadu,45.0,Very High,Profitable
OD82,Amy,Food Grains,Atta & Flour,Bodi,2015-10-12,West,1739,0.29,765.16,Tamil Nadu,44.0,Very High,Profitable
OD83,Komal,Oil & Masala,Spices,Cumbum,2015-10-12,West,990,0.26,227.7,Tamil Nadu,23.0,High,Profitable
OD84,Ravi,Beverages,Soft Drinks,Dharmapuri,2016-09-03,South,2354,0.11,682.66,Tamil Nadu,28.999999999999996,Very High,Profitable
OD85,Amy,Fruits & Veggies,Organic Fruits,Bodi,,Central,1044,0.1,344.52,Tamil Nadu,32.99999999999999,Very High,Profitable
OD86,Willams,Oil & Masala,Spices,Dindigul,,South,2129,0.25,659.99,Tamil Nadu,31.0,Very High,Profitable
OD87,Sharon,Food Grains,Rice,Theni,,Central,1759,0.1,615.65,Tamil Nadu,35.0,Very High,Profitable
OD88,Ramesh,"Eggs, Meat & Fish",Eggs,Viluppuram,,Central,1663,0.26,665.2,Tamil Nadu,40.0,Very High,Profitable
OD89,Sheeba,Bakery,Breads & Buns,Perambalur,2017-04-05,Central,2111,0.21,189.99,Tamil Nadu,9.000000000000002,Very High,Profitable
OD90,Krithika,Food Grains,Dals & Pulses,Madurai,,West,1878,0.12,450.72,Tamil Nadu,24.000000000000004,Very High,Profitable
OD91,Willams,"Eggs, Meat & Fish",Chicken,Ooty,,West,769,0.34,46.14,Tamil Nadu,6.0,High,Profitable
OD92,Roshan,Beverages,Health Drinks,Virudhunagar,,West,1241,0.14,409.53,Tamil Nadu,32.99999999999999,Very High,Profitable
OD93,Ravi,Food Grains,Atta & Flour,Madurai,,Central,2128,0.14,383.04,Tamil Nadu,18.000000000000004,Very High,Profitable
OD94,Ram,Fruits & Veggies,Fresh Fruits,Namakkal,,Central,2257,0.33,270.84,Tamil Nadu,12.0,Very High,Profitable
OD95,Mathew,Snacks,Chocolates,Bodi,,Central,1285,0.28,218.45,Tamil Nadu,17.0,Very High,Profitable
OD96,Veena,"Eggs, Meat & Fish",Fish,Virudhunagar,2018-11-06,West,1230,0.13,442.8,Tamil Nadu,36.0,Very High,Profitable
OD97,Sudha,Food Grains,Atta & Flour,Ooty,2018-11-09,East,1856,0.21,723.84,Tamil Nadu,39.0,Very High,Profitable
OD98,Sharon,Fruits & Veggies,Fresh Fruits,Trichy,,West,545,0.31,125.35,Tamil Nadu,23.0,High,Profitable
OD99,Vince,Snacks,Chocolates,Dharmapuri,2017-09-06,Central,2301,0.28,391.17,Tamil Nadu,17.0,Very High,Profitable
OD100,Krithika,Oil & Masala,Spices,Chennai,,Central,1475,0.26,531.0,Tamil Nadu,36.0,Very High,Profitable
OD101,Adavan,Bakery,Cakes,Coimbatore,,Central,2118,0.35,910.74,Tamil Nadu,43.0,Very High,Profitable
OD102,Roshan,Beverages,Soft Drinks,Coimbatore,,Central,1527,0.17,671.88,Tamil Nadu,44.0,Very High,Profitable
OD103,Vinne,Snacks,Chocolates,Nagercoil,2017-12-01,Central,567,0.18,175.77,Tamil Nadu,31.0,High,Profitable
OD104,Amy,Fruits & Veggies,Fresh Fruits,Ramanadhapuram,,West,969,0.27,184.11,Tamil Nadu,19.0,High,Profitable
OD105,Suresh,Food Grains,Dals & Pulses,Karur,,West,2300,0.14,1035.0,Tamil Nadu,45.0,Very High,Profitable
OD106,Komal,Oil & Masala,Masalas,Kanyakumari,,West,1575,0.33,78.75,Tamil Nadu,5.0,Very High,Profitable
OD107,Sundar,Beverages,Health Drinks,Cumbum,,South,540,0.12,108.0,Tamil Nadu,20.0,High,Profitable
OD108,Willams,Snacks,Cookies,Tirunelveli,,South,536,0.34,176.88,Tamil Nadu,33.0,High,Profitable
OD109,Vidya,"Eggs, Meat & Fish",Eggs,Tirunelveli,,South,556,0.21,155.68,Tamil Nadu,28.000000000000004,High,Profitable
OD110,Shree,Fruits & Veggies,Fresh Fruits,Coimbatore,,Central,1179,0.16,271.17,Tamil Nadu,23.0,Very High,Profitable
OD111,Sundar,Food Grains,Dals & Pulses,Namakkal,,East,1487,0.12,505.58,Tamil Nadu,34.0,Very High,Profitable
OD112,Arvind,Bakery,Breads & Buns,Pudukottai,2017-11-03,Central,2220,0.1,111.0,Tamil Nadu,5.0,Very High,Profitable
OD113,Ravi,Oil & Masala,Edible Oil & Ghee,Dindigul,2017-11-03,Central,2155,0.3,581.85,Tamil Nadu,27.0,Very High,Profitable
OD114,Vinne,Fruits & Veggies,Fresh Vegetables,Krishnagiri,,East,1154,0.1,69.24,Tamil Nadu,6.0,Very High,Profitable
OD115,Muneer,Snacks,Noodles,Salem,,East,2420,0.11,242.0,Tamil Nadu,10.0,Very High,Profitable
OD116,Rumaiza,Snacks,Chocolates,Karur,,East,1305,0.24,287.1,Tamil Nadu,22.000000000000004,Very High,Profitable
OD117,Hussain,Fruits & Veggies,Organic Fruits,Bodi,,East,927,0.2,157.59,Tamil Nadu,17.0,High,Profitable
OD118,Arvind,Fruits & Veggies,Organic Vegetables,Viluppuram,2016-03-02,West,983,0.11,186.77,Tamil Nadu,19.0,High,Profitable
OD119,Akash,Food Grains,Rice,Chennai,2016-04-05,South,903,0.1,90.3,Tamil Nadu,10.0,High,Profitable
OD120,Ganesh,"Eggs, Meat & Fish",Chicken,Cumbum,2017-06-12,East,1235,0.12,74.1,Tamil Nadu,6.0,Very High,Profitable
OD121,Alan,Fruits & Veggies,Organic Vegetables,Tirunelveli,2017-06-12,East,1243,0.24,174.02,Tamil Nadu,14.000000000000002,Very High,Profitable
OD122,Harish,Bakery,Cakes,Krishnagiri,2017-06-12,East,649,0.34,201.19,Tamil Nadu,31.0,High,Profitable
OD123,Veronica,"Eggs, Meat & Fish",Mutton,Tenkasi,2017-06-12,East,2354,0.11,188.32,Tamil Nadu,8.0,Very High,Profitable
OD124,Anu,Beverages,Soft Drinks,Cumbum,2017-06-12,East,1443,0.27,187.59,Tamil Nadu,13.0,Very High,Profitable
OD125,Sudeep,Bakery,Breads & Buns,Madurai,,Central,975,0.26,390.0,Tamil Nadu,40.0,High,Profitable
OD126,Yusuf,Fruits & Veggies,Organic Vegetables,Virudhunagar,,Central,889,0.19,71.12,Tamil Nadu,8.0,High,Profitable
OD127,Shah,"Eggs, Meat & Fish",Mutton,Karur,2018-11-05,West,2352,0.17,870.24,Tamil Nadu,37.0,Very High,Profitable
OD128,Harish,Oil & Masala,Spices,Tirunelveli,2018-11-05,West,1293,0.23,336.18,Tamil Nadu,26.0,Very High,Profitable
OD129,Sharon,Food Grains,Rice,Bodi,2017-11-06,West,1458,0.29,597.78,Tamil Nadu,41.0,Very High,Profitable
OD130,Peer,Food Grains,Atta & Flour,Coimbatore,2017-11-06,West,1801,0.22,126.07,Tamil Nadu,6.999999999999999,Very High,Profitable
OD131,Haseena,Snacks,Chocolates,Tenkasi,2018-02-02,East,1261,0.29,416.13,Tamil Nadu,33.0,Very High,Profitable
OD132,Sundar,Beverages,Soft Drinks,Nagercoil,2018-02-02,East,2112,0.28,105.6,Tamil Nadu,5.0,Very High,Profitable
OD133,Ram,"Eggs, Meat & Fish",Fish,Ramanadhapuram,2018-02-02,East,640,0.24,140.8,Tamil Nadu,22.000000000000004,High,Profitable
OD134,Shah,Bakery,Cakes,Tenkasi,,West,1658,0.12,315.02,Tamil Nadu,19.0,Very High,Profitable
OD135,Harish,Beverages,Health Drinks,Ramanadhapuram,,West,2373,0.18,664.44,Tamil Nadu,28.000000000000004,Very High,Profitable
OD136,Veena,Fruits & Veggies,Organic Fruits,Cumbum,,West,1430,0.19,514.8,Tamil Nadu,36.0,Very High,Profitable
OD137,Sundar,Oil & Masala,Spices,Viluppuram,,West,1873,0.3,674.28,Tamil Nadu,36.0,Very High,Profitable
OD138,Jackson,"Eggs, Meat & Fish",Eggs,Theni,,West,867,0.14,329.46,Tamil Nadu,37.99999999999999,High,Profitable
OD139,Malik,Snacks,Noodles,Theni,,West,1101,0.19,484.44,Tamil Nadu,44.0,Very High,Profitable
OD140,Hussain,"Eggs, Meat & Fish",Mutton,Ooty,,West,1088,0.28,424.32,Tamil Nadu,39.0,Very High,Profitable
OD141,Veena,Bakery,Biscuits,Perambalur,2017-09-05,East,866,0.32,381.04,Tamil Nadu,44.0,High,Profitable
OD142,Aditi,Oil & Masala,Masalas,Tirunelveli,,West,2483,0.14,223.47,Tamil Nadu,9.0,Very High,Profitable
OD143,Surya,Food Grains,Atta & Flour,Kanyakumari,,West,1335,0.11,293.7,Tamil Nadu,22.0,Very High,Profitable
OD144,Sharon,"Eggs, Meat & Fish",Fish,Tenkasi,,West,765,0.24,252.45,Tamil Nadu,32.99999999999999,High,Profitable
OD145,Vinne,"Eggs, Meat & Fish",Mutton,Tenkasi,,Central,2403,0.2,624.78,Tamil Nadu,26.0,Very High,Profitable
OD146,Malik,Oil & Masala,Edible Oil & Ghee,Coimbatore,2016-09-07,West,1551,0.13,573.87,Tamil Nadu,37.0,Very High,Profitable
OD147,Ridhesh,Food Grains,Organic Staples,Theni,,East,1564,0.27,187.68,Tamil Nadu,12.000000000000002,Very High,Profitable
OD148,Harish,Fruits & Veggies,Fresh Vegetables,Tirunelveli,2017-12-05,Central,1125,0.33,292.5,Tamil Nadu,26.0,Very High,Profitable
OD149,Veronica,Beverages,Health Drinks,Tenkasi,2017-12-05,Central,768,0.1,184.32,Tamil Nadu,24.0,High,Profitable
OD150,Ravi,"Eggs, Meat & Fish",Fish,Vellore,2017-12-05,Central,1985,0.26,734.45,Tamil Nadu,37.0,Very High,Profitable
OD151,Muneer,Food Grains,Rice,Bodi,2017-12-05,Central,2287,0.13,1029.15,Tamil Nadu,45.00000000000001,Very High,Profitable
OD152,Jackson,Snacks,Chocolates,Pudukottai,,West,1016,0.34,335.28,Tamil Nadu,32.99999999999999,Very High,Profitable
OD153,Amy,Snacks,Cookies,Namakkal,,West,852,0.26,76.68,Tamil Nadu,9.000000000000002,High,Profitable
OD154,Ram,Food Grains,Organic Staples,Ramanadhapuram,,West,1233,0.28,234.27,Tamil Nadu,19.0,Very High,Profitable
OD155,Jonas,Snacks,Noodles,Pudukottai,,West,2236,0.14,626.08,Tamil Nadu,28.000000000000004,Very High,Profitable
OD156,Ramesh,Fruits & Veggies,Fresh Vegetables,Viluppuram,,West,2188,0.32,809.56,Tamil Nadu,37.0,Very High,Profitable
OD157,Peer,Snacks,Cookies,Coimbatore,,West,1114,0.2,456.74,Tamil Nadu,41.0,Very High,Profitable
OD158,Komal,Oil & Masala,Edible Oil & Ghee,Salem,2015-03-01,West,1774,0.15,620.9,Tamil Nadu,35.0,Very High,Profitable
OD159,Amy,Beverages,Soft Drinks,Karur,,Central,2364,0.21,1040.16,Tamil Nadu,44.00000000000001,Very High,Profitable
OD160,Amrish,Food Grains,Dals & Pulses,Madurai,,Central,1487,0.11,148.7,Tamil Nadu,10.0,Very High,Profitable
OD161,Yadav,Beverages,Soft Drinks,Ooty,2017-05-11,West,713,0.3,192.51,Tamil Nadu,26.999999999999996,High,Profitable
OD162,Vinne,"Eggs, Meat & Fish",Fish,Kanyakumari,,East,737,0.2,280.06,Tamil Nadu,38.0,High,Profitable
OD163,Amrish,Snacks,Chocolates,Trichy,,West,1004,0.26,341.36,Tamil Nadu,34.0,Very High,Profitable
OD164,Hussain,Snacks,Cookies,Theni,2017-11-07,West,1516,0.32,121.28,Tamil Nadu,8.0,Very High,Profitable
OD165,Haseena,Food Grains,Atta & Flour,Ramanadhapuram,2015-09-08,Central,1442,0.28,605.64,Tamil Nadu,42.0,Very High,Profitable
OD166,Sudha,Beverages,Health Drinks,Madurai,2015-09-08,Central,1690,0.33,422.5,Tamil Nadu,25.0,Very High,Profitable
OD167,Adavan,Snacks,Chocolates,Bodi,2015-09-08,Central,2021,0.13,343.57,Tamil Nadu,17.0,Very High,Profitable
OD168,Aditi,"Eggs, Meat & Fish",Mutton,Ooty,2015-09-08,Central,2340,0.25,491.4,Tamil Nadu,21.0,Very High,Profitable
OD169,Krithika,Oil & Masala,Spices,Viluppuram,2015-09-08,Central,705,0.15,176.25,Tamil Nadu,25.0,High,Profitable
OD170,Sharon,"Eggs, Meat & Fish",Chicken,Trichy,2015-09-08,Central,1215,0.2,60.75,Tamil Nadu,5.0,Very High,Profitable
OD171,Akash,Food Grains,Dals & Pulses,Krishnagiri,2015-09-08,Central,552,0.25,237.36,Tamil Nadu,43.00000000000001,High,Profitable
OD172,Sabeela,Beverages,Health Drinks,Tirunelveli,2015-08-05,West,1412,0.11,564.8,Tamil Nadu,40.0,Very High,Profitable
OD173,Surya,Food Grains,Dals & Pulses,Tirunelveli,2015-08-05,West,791,0.32,150.29,Tamil Nadu,19.0,High,Profitable
OD174,Alan,Fruits & Veggies,Organic Vegetables,Viluppuram,2015-08-05,West,2476,0.33,420.92,Tamil Nadu,17.0,Very High,Profitable
OD175,Aditi,Fruits & Veggies,Fresh Vegetables,Karur,,Central,1747,0.27,471.69,Tamil Nadu,27.0,Very High,Profitable
OD176,Shah,Fruits & Veggies,Organic Fruits,Pudukottai,,Central,1973,0.15,848.39,Tamil Nadu,43.0,Very High,Profitable
OD177,Mathew,Oil & Masala,Spices,Krishnagiri,,Central,2025,0.24,546.75,Tamil Nadu,27.0,Very High,Profitable
OD178,Rumaiza,Snacks,Noodles,Vellore,,East,1016,0.29,223.52,Tamil Nadu,22.0,Very High,Profitable
OD179,Arvind,Fruits & Veggies,Organic Fruits,Trichy,,East,689,0.3,55.12,Tamil Nadu,8.0,High,Profitable
OD180,Krithika,Food Grains,Atta & Flour,Karur,,East,1322,0.16,343.72,Tamil Nadu,26.0,Very High,Profitable
OD181,Arvind,Snacks,Cookies,Bodi,2015-12-05,Central,1605,0.25,433.35,Tamil Nadu,27.0,Very High,Profitable
OD182,Ravi,Beverages,Health Drinks,Namakkal,2015-12-05,Central,1718,0.2,171.8,Tamil Nadu,10.0,Very High,Profitable
OD183,Jonas,Oil & Masala,Edible Oil & Ghee,Madurai,,South,2177,0.35,783.72,Tamil Nadu,36.0,Very High,Profitable
OD184,Surya,Food Grains,Organic Staples,Cumbum,,South,578,0.19,236.98,Tamil Nadu,41.0,High,Profitable
OD185,Amrish,Food Grains,Dals & Pulses,Dindigul,,South,782,0.28,195.5,Tamil Nadu,25.0,High,Profitable
OD186,Shah,Snacks,Noodles,Chennai,,East,1388,0.35,97.16,Tamil Nadu,6.999999999999999,Very High,Profitable
OD187,Krithika,Bakery,Cakes,Cumbum,,West,2264,0.21,792.4,Tamil Nadu,35.0,Very High,Profitable
OD188,Anu,Beverages,Soft Drinks,Pudukottai,,Central,813,0.16,138.21,Tamil Nadu,17.0,High,Profitable
OD189,Yusuf,Fruits & Veggies,Organic Fruits,Madurai,,Central,2015,0.24,564.2,Tamil Nadu,28.000000000000004,Very High,Profitable
OD190,Rumaiza,Beverages,Soft Drinks,Vellore,2016-10-12,East,1433,0.3,472.89,Tamil Nadu,33.0,Very High,Profitable
OD191,Amrish,Fruits & Veggies,Organic Fruits,Chennai,2016-10-12,East,2093,0.11,334.88,Tamil Nadu,16.0,Very High,Profitable
OD192,Muneer,Fruits & Veggies,Fresh Vegetables,Chennai,2016-10-12,East,2149,0.17,623.21,Tamil Nadu,29.000000000000004,Very High,Profitable
OD193,Anu,Beverages,Health Drinks,Dharmapuri,2016-10-12,East,1972,0.32,414.12,Tamil Nadu,21.0,Very High,Profitable
OD194,Suresh,Oil & Masala,Masalas,Dharmapuri,2016-10-12,East,2060,0.25,432.6,Tamil Nadu,21.000000000000004,Very High,Profitable
OD195,Peer,"Eggs, Meat & Fish",Eggs,Tirunelveli,,West,1175,0.12,340.75,Tamil Nadu,28.999999999999996,Very High,Profitable
OD196,Sundar,Oil & Masala,Edible Oil & Ghee,Theni,,East,1006,0.25,191.14,Tamil Nadu,18.999999999999996,Very High,Profitable
OD197,Sudeep,Bakery,Breads & Buns,Karur,,East,1409,0.16,380.43,Tamil Nadu,27.0,Very High,Profitable
OD198,Verma,Food Grains,Organic Staples,Pudukottai,2018-11-06,East,914,0.34,338.18,Tamil Nadu,37.0,High,Profitable
OD199,Surya,"Eggs, Meat & Fish",Mutton,Tirunelveli,2018-07-06,East,1352,0.3,527.28,Tamil Nadu,38.99999999999999,Very High,Profitable
OD200,Sudha,"Eggs, Meat & Fish",Eggs,Trichy,2018-07-06,East,682,0.25,170.5,Tamil Nadu,25.0,High,Profitable
OD201,James,Food Grains,Organic Staples,Tirunelveli,,East,1738,0.22,243.32,Tamil Nadu,13.999999999999998,Very High,Profitable
